company,year,tokens
deutsche lufthansa ag,2015,184411
deutsche lufthansa ag,2016,192090
deutsche lufthansa ag,2017,206608
deutsche lufthansa ag,2018,216108
deutsche lufthansa ag,2019,231409
deutsche lufthansa ag,2020,268549
deutsche lufthansa ag,2021,289568
deutsche lufthansa ag,2022,297369
deutsche lufthansa ag,2023,302994
deutsche pfandbriefbank ag,2014,126299
deutsche pfandbriefbank ag,2015,140960
deutsche pfandbriefbank ag,2016,155901
deutsche pfandbriefbank ag,2017,170967
deutsche pfandbriefbank ag,2018,183643
deutsche pfandbriefbank ag,2019,162565
deutsche pfandbriefbank ag,2020,168270
deutsche pfandbriefbank ag,2021,130986
deutsche pfandbriefbank ag,2022,134808
deutsche pfandbriefbank ag,2023,133833
deutsche wohnen se,2014,103219
deutsche wohnen se,2015,112142
deutsche wohnen se,2016,119898
deutsche wohnen se,2017,131933
deutsche wohnen se,2018,135189
deutsche wohnen se,2019,144995
deutsche wohnen se,2020,149118
deutsche wohnen se,2021,134491
deutsche wohnen se,2022,128636
deutsche wohnen se,2023,130050
deutz,2014,119180
deutz,2015,119725
deutz,2016,117857
deutz,2017,139587
deutz,2018,15359
deutz,2019,159756
deutz,2020,167677
deutz,2021,198521
deutz,2022,211094
deutz,2023,219545
draegerwerk,2014,140284
draegerwerk,2015,135061
draegerwerk,2016,135557
draegerwerk,2017,124508
draegerwerk,2018,128986
draegerwerk,2019,131876
draegerwerk,2020,133454
draegerwerk,2021,124761
draegerwerk,2022,131220
draegerwerk,2023,131843
dws group gmbh & co kgaa,2018,140470
dws group gmbh & co kgaa,2019,147839
dws group gmbh & co kgaa,2020,219572
dws group gmbh & co kgaa,2021,220900
dws group gmbh & co kgaa,2022,208962
dws group gmbh & co kgaa,2023,225174
eckert & ziegler se,2014,92328
eckert & ziegler se,2015,85117
eckert & ziegler se,2016,85466
eckert & ziegler se,2017,93359
eckert & ziegler se,2018,91862
eckert & ziegler se,2019,93647
eckert & ziegler se,2020,96206
eckert & ziegler se,2021,99687
eckert & ziegler se,2022,91696
eckert & ziegler se,2023,103814
elmos semiconductor,2014,89175
elmos semiconductor,2015,91035
elmos semiconductor,2016,84598
elmos semiconductor,2017,63194
elmos semiconductor,2018,62463
elmos semiconductor,2019,65728
elmos semiconductor,2020,69091
elmos semiconductor,2021,71668
elmos semiconductor,2022,77936
elmos semiconductor,2023,83219
energiekontor ag,2014,36203
energiekontor ag,2015,40407
energiekontor ag,2016,42905
energiekontor ag,2017,59904
energiekontor ag,2018,145595
energiekontor ag,2019,156438
energiekontor ag,2020,174359
energiekontor ag,2021,165474
energiekontor ag,2022,172120
energiekontor ag,2023,169431
evonik,2014,163954
evonik,2015,154056
evonik,2016,153999
evonik,2017,140056
evonik,2018,148981
evonik,2019,156013
evonik,2020,165394
evonik,2021,161975
evonik,2022,188926
evonik,2023,197934
evotec se,2014,122144
evotec se,2015,108994
evotec se,2016,110305
evotec se,2017,117722
evotec se,2018,129044
evotec se,2019,118631
evotec se,2020,131604
evotec se,2021,136380
evotec se,2022,141405
evotec se,2023,123344
fielmann,2014,82181
fielmann,2015,84713
fielmann,2016,85547
fielmann,2017,91019
fielmann,2018,101222
fielmann,2019,111532
fielmann,2020,115135
fielmann,2021,109054
fielmann,2022,99874
fielmann,2023,101775
flatexdegiro ag,2015,66896
flatexdegiro ag,2016,72403
flatexdegiro ag,2017,66672
flatexdegiro ag,2018,71838
flatexdegiro ag,2019,69669
flatexdegiro ag,2020,87811
flatexdegiro ag,2021,94452
flatexdegiro ag,2022,102760
flatexdegiro ag,2023,108903
fraport frankfurt airport services worldwide ag,2014,159810
fraport frankfurt airport services worldwide ag,2015,164243
fraport frankfurt airport services worldwide ag,2016,166197
fraport frankfurt airport services worldwide ag,2017,190463
fraport frankfurt airport services worldwide ag,2018,197652
fraport frankfurt airport services worldwide ag,2019,192710
fraport frankfurt airport services worldwide ag,2020,203307
fraport frankfurt airport services worldwide ag,2021,195890
fraport frankfurt airport services worldwide ag,2022,197724
fraport frankfurt airport services worldwide ag,2023,199509
freenet ag,2015,131763
freenet ag,2016,144460
freenet ag,2017,161603
freenet ag,2018,167209
freenet ag,2019,160332
freenet ag,2020,166120
freenet ag,2021,164371
freenet ag,2022,174885
freenet ag,2023,176966
fuchs se,2014,111553
fuchs se,2015,109589
fuchs se,2016,102244
fuchs se,2017,108763
fuchs se,2018,112478
fuchs se,2019,108738
fuchs se,2020,124882
fuchs se,2021,128251
fuchs se,2022,141981
fuchs se,2023,143067
gea group ag,2014,150310
gea group ag,2015,145682
gea group ag,2016,145112
gea group ag,2017,158920
gea group ag,2018,187721
gea group ag,2019,206299
gea group ag,2020,164877
gea group ag,2021,201320
gea group ag,2022,216015
gea group ag,2023,232320
gerresheimer ag,2014,112994
gerresheimer ag,2015,119559
gerresheimer ag,2016,126726
gerresheimer ag,2017,140396
gerresheimer ag,2018,155513
gerresheimer ag,2019,152188
gerresheimer ag,2020,135758
gerresheimer ag,2021,90162
gerresheimer ag,2022,99664
gerresheimer ag,2023,100716
gft technologies se,2014,92158
gft technologies se,2015,101079
gft technologies se,2016,94356
gft technologies se,2017,97958
gft technologies se,2018,110950
gft technologies se,2019,109827
gft technologies se,2020,107181
gft technologies se,2021,111122
gft technologies se,2022,114022
gft technologies se,2023,114872
grand city properties sa,2014,54581
grand city properties sa,2015,52591
grand city properties sa,2016,55513
grand city properties sa,2017,70701
grand city properties sa,2018,82574
grand city properties sa,2019,86887
grand city properties sa,2020,92555
grand city properties sa,2021,95031
grand city properties sa,2022,94171
grand city properties sa,2023,140092
grenke ag,2014,137203
grenke ag,2015,146527
grenke ag,2016,129936
grenke ag,2017,165928
grenke ag,2018,186957
grenke ag,2019,171708
grenke ag,2020,218178
grenke ag,2021,281670
grenke ag,2022,305813
grenke ag,2023,319763
hamborner reit ag,2014,67163
hamborner reit ag,2015,69346
hamborner reit ag,2016,71071
hamborner reit ag,2017,75785
hamborner reit ag,2018,76759
hamborner reit ag,2019,77715
hamborner reit ag,2020,92583
hamborner reit ag,2021,80559
hamborner reit ag,2022,80239
hamborner reit ag,2023,84971
heidelberger druckmaschinen,2014,115598
heidelberger druckmaschinen,2015,116540
heidelberger druckmaschinen,2016,119547
heidelberger druckmaschinen,2017,126057
heidelberger druckmaschinen,2018,128182
heidelberger druckmaschinen,2019,142501
heidelberger druckmaschinen,2020,135516
heidelberger druckmaschinen,2021,143474
heidelberger druckmaschinen,2022,143557
heidelberger druckmaschinen,2023,136210
hella,2014,55771
hella,2015,113981
hella,2016,124344
hella,2017,136939
hella,2018,159666
hella,2019,165349
hella,2020,166864
hella,2021,160112
hella,2022,141998
hella,2023,168972
hello fresh,2017,63776
hello fresh,2018,68980
hello fresh,2019,70756
hello fresh,2020,78119
hello fresh,2021,79266
hello fresh,2022,82024
hello fresh,2023,83455
hensoldt,2020,103734
hensoldt,2021,186325
hensoldt,2022,220426
hensoldt,2023,127342
hochtief ag,2014,185787
hochtief ag,2015,184336
hochtief ag,2016,180925
hochtief ag,2017,179960
hochtief ag,2018,177424
hochtief ag,2019,184552
hochtief ag,2020,203839
hochtief ag,2021,211034
hochtief ag,2022,254239
hochtief ag,2023,255738
hornbach holding ag & co kgaa,2015,125340
hornbach holding ag & co kgaa,2016,121019
hornbach holding ag & co kgaa,2017,122001
hornbach holding ag & co kgaa,2018,134824
hornbach holding ag & co kgaa,2019,141773
hornbach holding ag & co kgaa,2020,141773
hornbach holding ag & co kgaa,2021,145667
hornbach holding ag & co kgaa,2022,133256
hornbach holding ag & co kgaa,2023,139360
hugo boss ag,2014,145749
hugo boss ag,2015,150036
hugo boss ag,2016,120195
hugo boss ag,2017,126976
hugo boss ag,2018,136206
hugo boss ag,2019,133375
hugo boss ag,2020,150043
hugo boss ag,2021,178458
hugo boss ag,2022,180936
hugo boss ag,2023,192438
hypoport se,2014,69307
hypoport se,2015,62889
hypoport se,2016,68059
hypoport se,2017,76781
hypoport se,2018,83164
hypoport se,2019,81191
hypoport se,2020,87536
hypoport se,2021,83784
hypoport se,2022,87930
hypoport se,2023,82944
indus holding ag,2014,115878
indus holding ag,2015,123175
indus holding ag,2016,123783
indus holding ag,2017,135760
indus holding ag,2018,140075
indus holding ag,2019,157914
indus holding ag,2020,153751
indus holding ag,2021,139622
indus holding ag,2022,119070
indus holding ag,2023,115512
ionos group se,2019,56911
ionos group se,2020,48895
ionos group se,2021,52069
ionos group se,2022,53062
ionos group se,2023,127589
jenoptik ag,2014,143932
jenoptik ag,2015,152980
jenoptik ag,2016,156854
jenoptik ag,2017,163336
jenoptik ag,2018,179514
jenoptik ag,2019,184112
jenoptik ag,2020,208468
jenoptik ag,2021,220503
jenoptik ag,2022,175086
jenoptik ag,2023,174524
jost werke se,2016,38809
jost werke se,2017,83124
jost werke se,2018,92726
jost werke se,2019,101017
jost werke se,2020,105164
jost werke se,2021,117098
jost werke se,2022,124231
jost werke se,2023,128587
jungheinrich ag,2014,89230
jungheinrich ag,2015,85576
jungheinrich ag,2016,97461
jungheinrich ag,2017,96848
jungheinrich ag,2018,114497
jungheinrich ag,2019,119871
jungheinrich ag,2020,128678
jungheinrich ag,2021,145541
jungheinrich ag,2022,152816
jungheinrich ag,2023,163237
k+s ag,2015,167923
k+s ag,2016,168017
k+s ag,2017,178264
k+s ag,2018,186297
k+s ag,2019,186817
k+s ag,2020,200004
k+s ag,2021,216085
k+s ag,2022,220232
k+s ag,2023,229710
kion,2014,161528
kion,2015,154783
kion,2016,156689
kion,2017,156258
kion,2018,168265
kion,2019,155326
kion,2020,176673
kion,2021,170067
kion,2022,173700
kion,2023,176385
kloeckner & co se,2014,116604
kloeckner & co se,2015,126204
kloeckner & co se,2016,133432
kloeckner & co se,2017,149208
kloeckner & co se,2018,151161
kloeckner & co se,2019,159422
kloeckner & co se,2020,167897
kloeckner & co se,2021,193514
kloeckner & co se,2022,204884
kloeckner & co se,2023,218172
knorr bremse ag,2015,53332
knorr bremse ag,2016,54542
knorr bremse ag,2017,54740
knorr bremse ag,2018,167968
knorr bremse ag,2019,183172
knorr bremse ag,2020,188911
knorr bremse ag,2021,199684
knorr bremse ag,2022,211389
knorr bremse ag,2023,212358
kontron ag,2014,150028
kontron ag,2015,163295
kontron ag,2016,180928
kontron ag,2017,224497
kontron ag,2018,242016
kontron ag,2019,131622
kontron ag,2020,136490
kontron ag,2021,144823
kontron ag,2022,151659
kontron ag,2023,153100
krones ag,2014,84168
krones ag,2015,86175
krones ag,2016,93186
krones ag,2017,94235
krones ag,2018,113775
krones ag,2019,112168
krones ag,2020,121575
krones ag,2021,124018
krones ag,2022,168599
krones ag,2023,176767
kws,2014,72599
kws,2015,89695
kws,2016,80671
kws,2017,87440
kws,2018,94469
kws,2019,101087
kws,2020,107264
kws,2021,109252
kws,2022,110486
kws,2023,120358
lanxess ag,2014,168909
lanxess ag,2015,180365
lanxess ag,2016,179422
lanxess ag,2017,170142
lanxess ag,2018,181478
lanxess ag,2019,198233
lanxess ag,2020,214536
lanxess ag,2021,208566
lanxess ag,2022,217497
lanxess ag,2023,212406
leg immobilien,2014,143096
leg immobilien,2015,145360
leg immobilien,2016,138336
leg immobilien,2017,143536
leg immobilien,2018,137750
leg immobilien,2019,142015
leg immobilien,2020,178709
leg immobilien,2021,202637
leg immobilien,2022,207079
leg immobilien,2023,199113
metro ag,2014,263201
metro ag,2015,250699
metro ag,2016,255251
metro ag,2017,208049
metro ag,2018,186625
metro ag,2019,204311
metro ag,2020,190041
metro ag,2021,190697
metro ag,2022,114448
metro ag,2023,114136
morphosys ag,2014,118195
morphosys ag,2015,133158
morphosys ag,2016,120999
morphosys ag,2017,137668
morphosys ag,2018,168005
morphosys ag,2019,162539
morphosys ag,2020,173336
morphosys ag,2021,166793
morphosys ag,2022,158127
morphosys ag,2023,167028
nagarro se,2020,118471
nagarro se,2021,112188
nagarro se,2022,112237
nagarro se,2023,129620
nemetschek se,2014,98867
nemetschek se,2015,297889
nemetschek se,2016,182351
nemetschek se,2017,116621
nemetschek se,2018,121842
nemetschek se,2019,100560
nemetschek se,2020,107114
nemetschek se,2021,117343
nemetschek se,2022,140422
nemetschek se,2023,136439
new work se,2014,85623
new work se,2015,86944
new work se,2016,84522
new work se,2017,101568
new work se,2018,101720
new work se,2019,102311
new work se,2020,105867
new work se,2021,90189
new work se,2022,90596
new work se,2023,94390
nordex se,2016,112320
nordex se,2017,109955
nordex se,2018,118028
nordex se,2019,112540
nordex se,2020,117137
nordex se,2021,134410
nordex se,2022,143248
nordex se,2023,137252
norma group se,2014,136860
norma group se,2015,148450
norma group se,2016,152830
norma group se,2017,181872
norma group se,2018,192111
norma group se,2019,181437
norma group se,2020,206445
norma group se,2021,244292
norma group se,2022,268849
norma group se,2023,279869
patrizia se,2014,77441
patrizia se,2015,74475
patrizia se,2016,75070
patrizia se,2017,85974
patrizia se,2018,98567
patrizia se,2019,97899
patrizia se,2020,218641
patrizia se,2021,110345
patrizia se,2022,128638
patrizia se,2023,141959
pfeiffer vaccum,2014,72534
pfeiffer vaccum,2015,77541
pfeiffer vaccum,2016,77042
pfeiffer vaccum,2017,95932
pfeiffer vaccum,2018,105903
pfeiffer vaccum,2019,114844
pfeiffer vaccum,2020,137390
pfeiffer vaccum,2021,157949
pfeiffer vaccum,2022,166076
pfeiffer vaccum,2023,189514
pne ag,2014,120032
pne ag,2015,106890
pne ag,2016,102001
pne ag,2017,111797
pne ag,2018,125572
pne ag,2019,131346
pne ag,2020,129246
pne ag,2021,124444
pne ag,2022,132223
pne ag,2023,158896
puma se,2014,121047
puma se,2015,113831
puma se,2016,120027
puma se,2017,139546
puma se,2018,137333
puma se,2019,149016
puma se,2020,145597
puma se,2021,163314
puma se,2022,197857
puma se,2023,236811
pva tepla ag,2014,59248
pva tepla ag,2015,51853
pva tepla ag,2016,51744
pva tepla ag,2017,52757
pva tepla ag,2018,62272
pva tepla ag,2019,70962
pva tepla ag,2020,72883
pva tepla ag,2021,67167
pva tepla ag,2022,91873
pva tepla ag,2023,88693
rational ag,2014,76215
rational ag,2015,80600
rational ag,2016,80897
rational ag,2017,77203
rational ag,2018,78243
rational ag,2019,77573
rational ag,2020,82964
rational ag,2021,94510
rational ag,2022,88848
rational ag,2023,87805
redcare pharmacy,2019,86635
redcare pharmacy,2020,97976
redcare pharmacy,2021,111150
redcare pharmacy,2022,121789
redcare pharmacy,2023,124678
renk,2020,183711
renk,2023,90832
rtl group sa,2014,129595
rtl group sa,2015,133947
rtl group sa,2016,157594
rtl group sa,2017,159279
rtl group sa,2018,155584
rtl group sa,2019,148823
rtl group sa,2020,138263
rtl group sa,2021,129613
rtl group sa,2022,137559
rtl group sa,2023,129954
saf-holland se,2014,102103
saf-holland se,2015,111365
saf-holland se,2016,122188
saf-holland se,2017,133286
saf-holland se,2018,133601
saf-holland se,2019,140913
saf-holland se,2020,141731
saf-holland se,2021,143159
saf-holland se,2022,151078
saf-holland se,2023,180449
salzgitter,2014,140088
salzgitter,2015,130054
salzgitter,2016,93344
salzgitter,2017,101798
salzgitter,2018,108322
salzgitter,2019,113725
salzgitter,2020,117801
salzgitter,2021,114803
salzgitter,2022,182449
salzgitter,2023,200562
schaeffler ag,2014,123055
schaeffler ag,2015,161126
schaeffler ag,2016,169710
schaeffler ag,2017,194692
schaeffler ag,2018,210879
schaeffler ag,2019,162268
schaeffler ag,2020,182324
schaeffler ag,2021,142996
schaeffler ag,2022,164979
schaeffler ag,2023,223328
scout24,2014,21927
scout24,2015,103722
scout24,2016,102771
scout24,2017,112071
scout24,2018,132135
scout24,2019,138238
scout24,2020,125560
scout24,2021,143506
scout24,2022,118376
scout24,2023,170104
secunet security networks ag,2014,65871
secunet security networks ag,2015,65496
secunet security networks ag,2016,67397
secunet security networks ag,2017,81864
secunet security networks ag,2018,96463
secunet security networks ag,2019,100294
secunet security networks ag,2020,102812
secunet security networks ag,2021,119991
secunet security networks ag,2022,131210
secunet security networks ag,2023,141069
sfc energy ag,2014,147777
sfc energy ag,2015,159068
sfc energy ag,2016,163112
sfc energy ag,2017,160255
sfc energy ag,2018,174433
sfc energy ag,2019,184690
sfc energy ag,2020,117349
sfc energy ag,2021,126420
sfc energy ag,2022,128034
sfc energy ag,2023,134112
sgl carbon,2014,152280
sgl carbon,2015,144194
sgl carbon,2016,44097
sgl carbon,2017,150582
sgl carbon,2018,158717
sgl carbon,2019,157551
sgl carbon,2020,151853
sgl carbon,2021,147717
sgl carbon,2022,151775
sgl carbon,2023,163458
siltronic ag,2015,98473
siltronic ag,2016,96127
siltronic ag,2017,110781
siltronic ag,2018,117871
siltronic ag,2019,118573
siltronic ag,2020,133896
siltronic ag,2021,139607
siltronic ag,2022,150976
siltronic ag,2023,154771
stratec se,2014,74401
stratec se,2015,97840
stratec se,2016,103391
stratec se,2017,112735
stratec se,2018,120553
stratec se,2019,114478
stratec se,2020,115614
stratec se,2021,115203
stratec se,2022,118111
stratec se,2023,118258
stroeer se & co kgaa,2014,95188
stroeer se & co kgaa,2015,95883
stroeer se & co kgaa,2016,93914
stroeer se & co kgaa,2017,102946
stroeer se & co kgaa,2018,114923
stroeer se & co kgaa,2019,106578
stroeer se & co kgaa,2020,117185
stroeer se & co kgaa,2021,119713
stroeer se & co kgaa,2022,121772
stroeer se & co kgaa,2023,120047
suedzucker,2014,145834
suedzucker,2015,135129
suedzucker,2016,145037
suedzucker,2017,151465
suedzucker,2018,159158
suedzucker,2019,156694
suedzucker,2020,153912
suedzucker,2021,167418
suedzucker,2022,177669
suedzucker,2023,172658
suss microtec se,2014,98515
suss microtec se,2015,102357
suss microtec se,2016,355790
suss microtec se,2017,111117
suss microtec se,2018,93390
suss microtec se,2019,103480
suss microtec se,2020,99269
suss microtec se,2021,142725
suss microtec se,2022,135545
suss microtec se,2023,132806
synlab ag,2021,142302
synlab ag,2022,146584
synlab ag,2023,154927
tag immobilien ag,2014,41880
tag immobilien ag,2015,36999
tag immobilien ag,2016,38751
tag immobilien ag,2017,46227
tag immobilien ag,2018,55063
tag immobilien ag,2019,67124
tag immobilien ag,2020,75342
tag immobilien ag,2021,94998
tag immobilien ag,2022,78911
tag immobilien ag,2023,78902
talanx ag,2018,36754
talanx ag,2019,37692
talanx ag,2020,40660
talanx ag,2021,39197
talanx ag,2022,40947
talanx ag,2023,39832
teamviewer,2019,98312
teamviewer,2020,141612
teamviewer,2021,161934
teamviewer,2022,142978
teamviewer,2023,136907
thyssenkrupp ag,2014,166095
thyssenkrupp ag,2015,166095
thyssenkrupp ag,2016,153965
thyssenkrupp ag,2017,149824
thyssenkrupp ag,2018,156416
thyssenkrupp ag,2019,156723
thyssenkrupp ag,2020,170462
thyssenkrupp ag,2021,192108
thyssenkrupp ag,2022,203141
thyssenkrupp ag,2023,215785
thyssenkrupp nucera ag & co kgaa,2019,42740
thyssenkrupp nucera ag & co kgaa,2020,42740
thyssenkrupp nucera ag & co kgaa,2021,42740
thyssenkrupp nucera ag & co kgaa,2022,42740
thyssenkrupp nucera ag & co kgaa,2023,129094
traton se,2016,66142
traton se,2017,66142
traton se,2018,66142
traton se,2019,159282
traton se,2020,183622
traton se,2021,216478
traton se,2022,210955
traton se,2023,212148
tui ag,2016,236618
tui ag,2017,188670
tui ag,2018,198493
tui ag,2019,214950
tui ag,2020,257432
tui ag,2021,259099
tui ag,2022,267030
tui ag,2023,276415
united internet ag,2014,128399
united internet ag,2015,132067
united internet ag,2016,137769
united internet ag,2017,166066
united internet ag,2018,182860
united internet ag,2019,172971
united internet ag,2020,181940
united internet ag,2021,176636
united internet ag,2022,186537
united internet ag,2023,187246
verbio se,2014,87930
verbio se,2015,80995
verbio se,2016,79102
verbio se,2017,84936
verbio se,2018,86902
verbio se,2019,88255
verbio se,2020,92416
verbio se,2021,113435
verbio se,2022,113659
verbio se,2023,112151
vossloh,2014,125731
vossloh,2015,119644
vossloh,2016,107354
vossloh,2017,135224
vossloh,2018,141730
vossloh,2019,147156
vossloh,2020,152392
vossloh,2021,161094
vossloh,2022,160090
vossloh,2023,161743
wacker chemie ag,2014,185397
wacker chemie ag,2015,182885
wacker chemie ag,2016,161163
wacker chemie ag,2017,175305
wacker chemie ag,2018,180277
wacker chemie ag,2019,166511
wacker chemie ag,2020,180379
wacker chemie ag,2021,180949
wacker chemie ag,2022,214092
wacker chemie ag,2023,196586
wacker neuson se,2017,129874
wacker neuson se,2018,147107
wacker neuson se,2019,155421
wacker neuson se,2020,166997
wacker neuson se,2021,157580
wacker neuson se,2022,154771
wacker neuson se,2023,153458
wuestenrot & wuerttembergische,2014,213118
wuestenrot & wuerttembergische,2015,218583
wuestenrot & wuerttembergische,2016,220342
wuestenrot & wuerttembergische,2017,228340
wuestenrot & wuerttembergische,2018,253500
wuestenrot & wuerttembergische,2019,249229
wuestenrot & wuerttembergische,2020,258961
wuestenrot & wuerttembergische,2021,305333
wuestenrot & wuerttembergische,2022,311427
wuestenrot & wuerttembergische,2023,299617
zeal network se,2014,64205
zeal network se,2015,74323
zeal network se,2016,72425
zeal network se,2017,78407
zeal network se,2018,91683
zeal network se,2019,94837
zeal network se,2020,90819
zeal network se,2021,93846
zeal network se,2022,110171
zeal network se,2023,109276
